link;Артикул;Тип;Цоколь;Мощность;Цветовая температура;Серия;Количество в упаковке;Гарантия;Тип лампы;Световой поток Лм;Индекс цветопередачи;Рабочее напряжение;Размеры;Время работы, ч;Аналог лампы накаливания;Аналог галогеновой лампы;Аналог КЛЛ;Угол светового пучка;Форма;
http://gauss.ru/product/lampa-gauss-led-elementary-gx53/;83816;GX;GX53;6 Вт;2700K;Elementary;1/100;1 год;;;;;;;;;;;;
http://gauss.ru/product/lampa-gauss-led-elementary-gx53-2/;83826;GX;GX53;6 Вт;;Elementary;1/100;1 год;GX53;;;;;;;;;;;
http://gauss.ru/product/7537/;83819;GX;GX53;9 Вт;2700K;Elementary;;1 год;;660;80;;;;;;;;;
http://gauss.ru/product/lampa-gauss-elementary-gx53/;83829;GX;GX53;9 Вт;4100K;Elementary;;1 год;GX53;680;80;;;;;;;;;
http://gauss.ru/product/lampa-gauss-elementary-led/;23210;шар;E27;10 Вт;;Elementary;40;1 год;;;80;150-265V;60х110;25 000;75 Вт;75 Вт;15 Вт;;;
http://gauss.ru/product/lampa-gauss-elementary-led-2/;23220;шар;E27;10 Вт;;Elementary;40;1 год;;;80;150-265V;60х110;25 000;75 Вт;75 Вт;15 Вт;;;
http://gauss.ru/product/lampa-gauss-led-elementary-a60/;23212;шар;E27;12 Вт;2700K;Elementary;1/10/40;1 год;;;;;;;;;;;;
http://gauss.ru/product/lampa-gauss-led-elementary/;23222;шар;E27;12 Вт;4100K;Elementary;1/10/40;1 год;;;;;;;100 Вт;;;;;
http://gauss.ru/product/lampa-gauss-led-elementary-2/;23219;шар;E27;20 Вт;2700K;Elementary;;1 год;;;;;;;150 Вт;;;;;
http://gauss.ru/product/lampa-gauss-elementary-led-7/;23229;шар;E27;20 Вт;;Elementary;10;1 год;;;80;150-265V;60х125;25 000;;;;;;
http://gauss.ru/product/lampa-gauss-elementary-led-8/;23239;шар;E27;20 Вт;;Elementary;10;1 год;;;80;150-265V;60х125;25 000;;;;;;
http://gauss.ru/product/lampa-gauss-led-elementary-candle/;33116;свеча;E14;6 Вт;2700K;Elementary;10;1 год;;420;80;180-240V;38х110;25 000;60 Вт;50 Вт;11 Вт;240°;;
http://gauss.ru/product/lampa-gauss-led-elementary-candle-2/;33126;свеча;E14;6 Вт;4100K;Elementary;10;1 год;;450;80;180-240V;38х110;25 000;60 Вт;50 Вт;11 Вт;240°;;
http://gauss.ru/product/lampa-gauss-led-elementary-candle-3/;33216;свеча;E27;6 Вт;2700K;Elementary;10;1 год;;420;80;180-240V;38х110;25 000;60 Вт;50 Вт;11 Вт;240°;;
http://gauss.ru/product/lampa-gauss-led-elementary-candle-4/;33226;свеча;E27;6 Вт;4100K;Elementary;10;1 год;;450;80;180-240V;38х110;25 000;60 Вт;50 Вт;11 Вт;240°;;
http://gauss.ru/product/7721/;33118;свеча;E14;8 Вт;2700K;Elementary;10;1 год;;520;80;180-240V;37х98;25000;75 Вт;;;240°;;
http://gauss.ru/product/lampa-gauss-led-elementary-candle-9/;33128;свеча;E14;8 Вт;4100K;Elementary;10;1 год;;540;80;180-240V;37х98;25000;75 Вт;;;240°;;
http://gauss.ru/product/lampa-gauss-led-elementary-candle-10/;33218;свеча;E27;8 Вт;2700K;Elementary;10;1 год;;520;80;180-240V;37х98;25000;75 Вт;;;240°;;
http://gauss.ru/product/lampa-gauss-led-elementary-candle-11/;33228;свеча;E27;8 Вт;4100K;Elementary;10;1 год;;540;80;180-240V;37х98;25000;75 Вт;;;240°;;
http://gauss.ru/product/lampa-gauss-led-elementary-candle-5/;34116;свеча на ветру;E14;6 Вт;2700K;Elementary;10;1 год;;420;80;;38х130;25000;60 Вт;;;240°;;
http://gauss.ru/product/lampa-gauss-led-elementary-candle-6/;34126;свеча на ветру;E14;6 Вт;4100K;Elementary;10;1 год;;450;80;;38х130;25000;60 Вт;;;240°;;
http://gauss.ru/product/lampa-gauss-led-elementary-candle-7/;34118;свеча на ветру;E14;8 Вт;2700K;Elementary;10;1 год;;520;80;;37х125;25000;75 Вт;;;240°;;
http://gauss.ru/product/lampa-gauss-led-elementary-candle-8/;34128;свеча на ветру;E14;8 Вт;4100K;Elementary;10;1 год;;540;80;;37х125;25000;75 Вт;;;240°;;
http://gauss.ru/product/lampa-gauss-led-elementary-mr16-2/;13616;софитная;GU10;5.5 Вт;2700K;Elementary;1/100;1 год;;430;80;180-240V;50х45;25 000;;50 Вт;;;;
http://gauss.ru/product/lampa-gauss-led-elementary-mr16-3/;13626;софитная;GU10;5.5 Вт;4100K;Elementary;1/10/100;1 год;;450;80;180-240V;50х45;25 000;;50 Вт;;;;
http://gauss.ru/product/lampa-gauss-led-elementary-mr16/;13514;софитная;GU5.3;3.5 Вт;2700K;Elementary;10;1 год;;290;80;150-265V;50х45;25 000;25 Вт;35 Вт;7 Вт;;;
